id,timestamp,date,hour,produced_kwh,consumed_kwh,imported_kwh,exported_kwh,autoconsumed_kwh,autosufficiency_pct,autoconsumption_pct,forecast_day_kwh,forecast_hour_cumul_kwh,createdAt,updatedAt
97,2025-12-03T20:00:20.000Z,2025-12-03,0,0,0,0,0,0,0,0,2.761,0,2025-12-03T16:00:25.401Z,2025-12-03T20:00:21.111Z
98,2025-12-03T20:00:20.000Z,2025-12-03,1,0.00312,0.25626,0.25314,0,0.00312,1.2,100,2.761,0,2025-12-03T16:00:25.417Z,2025-12-03T20:00:21.128Z
99,2025-12-03T20:00:20.000Z,2025-12-03,2,0.00626,0.22813,0.22187,0,0.00626,2.7,100,2.761,0,2025-12-03T16:00:25.449Z,2025-12-03T20:00:21.142Z
100,2025-12-03T20:00:20.000Z,2025-12-03,3,0.00312,0.65625,0.65313,0,0.00312,0.5,100,2.761,0,2025-12-03T16:00:25.465Z,2025-12-03T20:00:21.158Z
101,2025-12-03T20:00:20.000Z,2025-12-03,4,0.00313,0.6,0.59687,0,0.00313,0.5,100,2.761,0,2025-12-03T16:00:25.484Z,2025-12-03T20:00:21.180Z
102,2025-12-03T20:00:20.000Z,2025-12-03,5,0.00312,0.22186,0.21874,0,0.00312,1.4,100,2.761,0,2025-12-03T16:00:25.496Z,2025-12-03T20:00:21.197Z
103,2025-12-03T20:00:20.000Z,2025-12-03,6,0.00313,0.23749,0.23436,0,0.00313,1.3,100,2.761,0,2025-12-03T16:00:25.517Z,2025-12-03T20:00:21.214Z
104,2025-12-03T20:00:20.000Z,2025-12-03,7,0.00313,2.43126,2.42813,0,0.00313,0.1,100,2.761,0,2025-12-03T16:00:25.536Z,2025-12-03T20:00:21.231Z
105,2025-12-03T20:00:20.000Z,2025-12-03,8,0.00312,1.89687,1.89375,0,0.00312,0.2,100,2.761,0,2025-12-03T16:00:25.554Z,2025-12-03T20:00:21.248Z
106,2025-12-03T20:00:20.000Z,2025-12-03,9,0.00313,1.10939,1.10626,0,0.00313,0.3,100,2.761,0.043,2025-12-03T16:00:25.572Z,2025-12-03T20:00:21.264Z
107,2025-12-03T20:00:20.000Z,2025-12-03,10,0.13124,0.19999,0.10624,0.03749,0.09375,46.9,71.4,2.761,0.279,2025-12-03T16:00:25.587Z,2025-12-03T20:00:21.280Z
108,2025-12-03T20:00:20.000Z,2025-12-03,11,0.50626,0.49689,0,0.00937,0.49689,100,98.1,2.761,0.666,2025-12-03T16:00:25.604Z,2025-12-03T20:00:21.295Z
109,2025-12-03T20:00:20.000Z,2025-12-03,12,0.71876,0.70939,0,0.00937,0.70939,100,98.7,2.761,1.144,2025-12-03T16:00:25.620Z,2025-12-03T20:00:21.312Z
110,2025-12-03T20:00:20.000Z,2025-12-03,13,0.93125,0.925,0,0.00625,0.925,100,99.3,2.761,1.649,2025-12-03T16:00:25.628Z,2025-12-03T20:00:21.327Z
111,2025-12-03T20:00:20.000Z,2025-12-03,14,0.46249,0.44687,0,0.01562,0.44687,100,96.6,2.761,2.114,2025-12-03T16:00:25.650Z,2025-12-03T20:00:21.341Z
112,2025-12-03T20:00:20.000Z,2025-12-03,15,0.18123,0.18122,0.00312,0.00313,0.1781,98.3,98.3,2.761,2.475,2025-12-03T16:00:25.665Z,2025-12-03T20:00:21.356Z
113,2025-12-03T20:00:20.000Z,2025-12-03,16,0.11875,0.11563,0,0.00312,0.11563,100,97.4,2.761,2.695,2025-12-03T16:00:25.688Z,2025-12-03T20:00:21.373Z
114,2025-12-03T20:00:20.000Z,2025-12-03,17,0.00313,0.62188,0.61875,0,0.00313,0.5,100,2.761,0,2025-12-03T16:00:25.703Z,2025-12-03T20:00:21.387Z
115,2025-12-03T20:00:20.000Z,2025-12-03,18,0.00312,0.30314,0.30002,0,0.00312,1,100,2.761,0,2025-12-03T16:00:25.718Z,2025-12-03T20:00:21.406Z
116,2025-12-03T20:00:20.000Z,2025-12-03,19,0.00313,0.28439,0.28126,0,0.00313,1.1,100,2.761,0,2025-12-03T16:00:25.735Z,2025-12-03T20:00:21.423Z
117,2025-12-03T20:00:20.000Z,2025-12-03,20,0.00313,0.31877,0.31564,0,0.00313,1,100,2.761,0,2025-12-03T16:00:25.750Z,2025-12-03T20:00:21.440Z
118,2025-12-03T20:00:20.000Z,2025-12-03,21,0.00312,0.28751,0.28439,0,0.00312,1.1,100,2.761,0,2025-12-03T16:00:25.768Z,2025-12-03T20:00:21.455Z
119,2025-12-03T20:00:20.000Z,2025-12-03,22,0.00313,0.30938,0.30625,0,0.00313,1,100,2.761,0,2025-12-03T16:00:25.788Z,2025-12-03T20:00:21.471Z
120,2025-12-03T20:00:20.000Z,2025-12-03,23,,,,,,,,2.761,0,2025-12-03T16:00:25.800Z,2025-12-03T20:00:21.491Z
121,2025-12-04T21:03:49.000Z,2025-12-04,0,0,0,0,0,0,0,0,2.65,0,2025-12-04T06:48:52.295Z,2025-12-04T21:03:49.817Z
122,2025-12-04T21:03:49.000Z,2025-12-04,1,0.00625,0.325,0.31875,0,0.00625,1.9,100,2.65,0,2025-12-04T06:48:52.318Z,2025-12-04T21:03:49.836Z
123,2025-12-04T21:03:49.000Z,2025-12-04,2,0.00313,0.23437,0.23124,0,0.00313,1.3,100,2.65,0,2025-12-04T06:48:52.341Z,2025-12-04T21:03:49.853Z
124,2025-12-04T21:03:49.000Z,2025-12-04,3,0.00312,0.68126,0.67814,0,0.00312,0.5,100,2.65,0,2025-12-04T06:48:52.362Z,2025-12-04T21:03:49.869Z
125,2025-12-04T21:03:49.000Z,2025-12-04,4,0.00313,0.72813,0.725,0,0.00313,0.4,100,2.65,0,2025-12-04T06:48:52.383Z,2025-12-04T21:03:49.886Z
126,2025-12-04T21:03:49.000Z,2025-12-04,5,0.00313,0.225,0.22187,0,0.00313,1.4,100,2.65,0,2025-12-04T06:48:52.402Z,2025-12-04T21:03:49.901Z
127,2025-12-04T21:03:49.000Z,2025-12-04,6,0.00312,0.39373,0.39061,0,0.00312,0.8,100,2.65,0,2025-12-04T06:48:52.421Z,2025-12-04T21:03:49.918Z
128,2025-12-04T21:03:49.000Z,2025-12-04,7,0.00313,3.02188,3.01875,0.00313,0,0,0,2.65,0,2025-12-04T06:48:52.441Z,2025-12-04T21:03:49.937Z
129,2025-12-04T21:03:49.000Z,2025-12-04,8,0.00312,1.49061,1.48749,0,0.00312,0.2,100,2.65,0,2025-12-04T06:48:52.466Z,2025-12-04T21:03:49.954Z
130,2025-12-04T21:03:49.000Z,2025-12-04,9,0.00626,0.37499,0.36873,0,0.00626,1.7,100,2.65,0.04,2025-12-04T06:48:52.487Z,2025-12-04T21:03:49.970Z
131,2025-12-04T21:03:49.000Z,2025-12-04,10,0.00313,0.21251,0.20938,0,0.00313,1.5,100,2.65,0.265,2025-12-04T06:48:52.505Z,2025-12-04T21:03:49.984Z
132,2025-12-04T21:03:49.000Z,2025-12-04,11,0.09375,0.3031,0.20935,0,0.09375,30.9,100,2.65,0.627,2025-12-04T06:48:52.523Z,2025-12-04T21:03:50.000Z
133,2025-12-04T21:03:49.000Z,2025-12-04,12,0.17808,0.25931,0.08748,0.00625,0.17183,66.3,96.5,2.65,1.077,2025-12-04T06:48:52.542Z,2025-12-04T21:03:50.019Z
134,2025-12-04T21:03:49.000Z,2025-12-04,13,0.18438,0.33749,0.15936,0.00625,0.17813,52.8,96.6,2.65,1.558,2025-12-04T06:48:52.563Z,2025-12-04T21:03:50.038Z
135,2025-12-04T21:03:49.000Z,2025-12-04,14,0.49064,0.47502,0,0.01562,0.47502,100,96.8,2.65,2.008,2025-12-04T06:48:52.584Z,2025-12-04T21:03:50.058Z
136,2025-12-04T21:03:49.000Z,2025-12-04,15,0.55936,0.5531,0.00312,0.00938,0.54998,99.4,98.3,2.65,2.366,2025-12-04T06:48:52.609Z,2025-12-04T21:03:50.075Z
137,2025-12-04T21:03:49.000Z,2025-12-04,16,0.24064,0.57501,0.33437,0,0.24064,41.8,100,2.65,2.585,2025-12-04T06:48:52.630Z,2025-12-04T21:03:50.105Z
138,2025-12-04T21:03:49.000Z,2025-12-04,17,0.07189,2.21251,2.14062,0,0.07189,3.2,100,2.65,0,2025-12-04T06:48:52.653Z,2025-12-04T21:03:50.119Z
139,2025-12-04T21:03:49.000Z,2025-12-04,18,0.00312,1.25938,1.25626,0,0.00312,0.2,100,2.65,0,2025-12-04T06:48:52.673Z,2025-12-04T21:03:50.132Z
140,2025-12-04T21:03:49.000Z,2025-12-04,19,0.00313,0.61877,0.61564,0,0.00313,0.5,100,2.65,0,2025-12-04T06:48:52.697Z,2025-12-04T21:03:50.144Z
141,2025-12-04T21:03:49.000Z,2025-12-04,20,0.00312,1.0469,1.04378,0,0.00312,0.3,100,2.65,0,2025-12-04T06:48:52.718Z,2025-12-04T21:03:50.157Z
142,2025-12-04T21:03:49.000Z,2025-12-04,21,0.00626,0.80314,0.79688,0,0.00626,0.8,100,2.65,0,2025-12-04T06:48:52.738Z,2025-12-04T21:03:50.173Z
143,2025-12-04T21:03:49.000Z,2025-12-04,22,0.00312,0.75626,0.75314,0,0.00312,0.4,100,2.65,0,2025-12-04T06:48:52.757Z,2025-12-04T21:03:50.188Z
144,2025-12-04T21:03:49.000Z,2025-12-04,23,0.00313,0.33126,0.32813,0,0.00313,0.9,100,2.65,0,2025-12-04T06:48:52.779Z,2025-12-04T21:03:50.202Z
145,2025-12-05T19:04:37.000Z,2025-12-05,0,0,0,0,0,0,0,0,2.888,0,2025-12-04T22:06:04.855Z,2025-12-05T19:04:37.554Z
146,2025-12-05T19:04:37.000Z,2025-12-05,1,0.00313,0.24061,0.23748,0,0.00313,1.3,100,2.888,0,2025-12-04T22:06:04.871Z,2025-12-05T19:04:37.572Z
147,2025-12-05T19:04:37.000Z,2025-12-05,2,0.00313,0.22185,0.21872,0,0.00313,1.4,100,2.888,0,2025-12-04T22:06:04.890Z,2025-12-05T19:04:37.590Z
148,2025-12-05T19:04:37.000Z,2025-12-05,3,0.00312,0.66874,0.66562,0,0.00312,0.5,100,2.888,0,2025-12-04T22:06:04.907Z,2025-12-05T19:04:37.608Z
149,2025-12-05T19:04:37.000Z,2025-12-05,4,0.00313,1.21563,1.2125,0,0.00313,0.3,100,2.888,0,2025-12-04T22:06:04.926Z,2025-12-05T19:04:37.625Z
150,2025-12-05T19:04:37.000Z,2025-12-05,5,0.00625,0.875,0.86875,0,0.00625,0.7,100,2.888,0,2025-12-04T22:06:04.941Z,2025-12-05T19:04:37.641Z
151,2025-12-05T19:04:37.000Z,2025-12-05,6,0.00313,0.18124,0.17811,0,0.00313,1.7,100,2.888,0,2025-12-04T22:06:04.960Z,2025-12-05T19:04:37.657Z
152,2025-12-05T19:04:37.000Z,2025-12-05,7,0.00312,0.49062,0.4875,0,0.00312,0.6,100,2.888,0,2025-12-04T22:06:04.978Z,2025-12-05T19:04:37.672Z
153,2025-12-05T19:04:37.000Z,2025-12-05,8,0.00313,1.50001,1.49688,0,0.00313,0.2,100,2.888,0,2025-12-04T22:06:04.995Z,2025-12-05T19:04:37.688Z
154,2025-12-05T19:04:37.000Z,2025-12-05,9,0.00937,0.28438,0.27501,0,0.00937,3.3,100,2.888,0.05,2025-12-04T22:06:05.012Z,2025-12-05T19:04:37.707Z
155,2025-12-05T19:04:37.000Z,2025-12-05,10,0.17503,0.38129,0.20938,0.00312,0.17191,45.1,98.2,2.888,0.34,2025-12-04T22:06:05.028Z,2025-12-05T19:04:37.722Z
156,2025-12-05T19:04:37.000Z,2025-12-05,11,0.45312,1.12186,0.68749,0.01875,0.43437,38.7,95.9,2.888,0.78,2025-12-04T22:06:05.046Z,2025-12-05T19:04:37.739Z
157,2025-12-05T19:04:37.000Z,2025-12-05,12,0.79999,0.77186,0.0125,0.04063,0.75936,98.4,94.9,2.888,1.281,2025-12-04T22:06:05.064Z,2025-12-05T19:04:37.754Z
158,2025-12-05T19:04:37.000Z,2025-12-05,13,0.94688,0.93751,0,0.00937,0.93751,100,99,2.888,1.782,2025-12-04T22:06:05.082Z,2025-12-05T19:04:37.770Z
159,2025-12-05T19:04:37.000Z,2025-12-05,14,0.81873,0.81247,0.00312,0.00938,0.80935,99.6,98.9,2.888,2.24,2025-12-04T22:06:05.097Z,2025-12-05T19:04:37.786Z
160,2025-12-05T19:04:37.000Z,2025-12-05,15,0.49375,0.5,0.00937,0.00312,0.49063,98.1,99.4,2.888,2.602,2025-12-04T22:06:05.115Z,2025-12-05T19:04:37.802Z
161,2025-12-05T19:04:37.000Z,2025-12-05,16,0.09062,0.08125,0,0.00937,0.08125,100,89.7,2.888,2.823,2025-12-04T22:06:05.130Z,2025-12-05T19:04:37.817Z
162,2025-12-05T19:04:37.000Z,2025-12-05,17,0,1.87501,1.87501,0,0,0,,2.888,0,2025-12-04T22:06:05.145Z,2025-12-05T19:04:37.834Z
163,2025-12-05T19:04:37.000Z,2025-12-05,18,0.00312,1.36562,1.3625,0,0.00312,0.2,100,2.888,0,2025-12-04T22:06:05.160Z,2025-12-05T19:04:37.853Z
164,2025-12-05T19:04:37.000Z,2025-12-05,19,0.00313,0.93436,0.93123,0,0.00313,0.3,100,2.888,0,2025-12-04T22:06:05.174Z,2025-12-05T19:04:37.868Z
165,2025-12-05T19:04:37.000Z,2025-12-05,20,0.00625,0.95935,0.9531,0,0.00625,0.7,100,2.888,0,2025-12-04T22:06:05.189Z,2025-12-05T19:04:37.883Z
166,2025-12-05T19:04:37.000Z,2025-12-05,21,0.00313,0.71564,0.71251,0,0.00313,0.4,100,2.888,0,2025-12-04T22:06:05.203Z,2025-12-05T19:04:37.899Z
167,2025-12-05T19:04:37.000Z,2025-12-05,22,,,,,,,,2.888,0,2025-12-04T22:06:05.220Z,2025-12-05T19:04:37.913Z
168,2025-12-05T19:04:37.000Z,2025-12-05,23,,,,,,,,2.888,0,2025-12-04T22:06:05.233Z,2025-12-05T19:04:37.929Z